               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11574,            0.043295,                   0,             0.03493,             0.16923,            0.030039,           0.0049746,             0.09533,            0.043045,                   0,              0.0739,              0.0029,              0.0029
                   1,            0.092128,            0.044608,                   0,             0.33683,             0.39074,              0.3225,            0.087052,            0.093854,            0.030441,                   0,            0.046608,           0.0056079,           0.0056079
                   2,             0.08874,            0.029845,                   0,             0.45191,             0.36923,             0.35143,            0.095213,             0.10172,             0.02771,                   0,            0.019019,           0.0080189,           0.0080189
                   3,            0.079198,            0.030674,                   0,              0.2628,             0.76923,             0.27825,             0.09239,            0.082842,            0.028484,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.071749,            0.027605,                   0,             0.65499,             0.75942,             0.68617,              0.1784,            0.065663,            0.029137,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.062586,            0.026362,                   0,             0.46978,             0.74973,             0.55038,             0.14109,            0.065258,             0.02784,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.058471,             0.02588,                   0,             0.81489,              0.9482,             0.90625,             0.42357,            0.044667,            0.023914,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.049635,            0.023966,                   0,             0.73866,             0.91321,             0.85963,             0.44733,            0.053481,             0.02293,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.047767,            0.021449,                   0,             0.84699,             0.93677,             0.94314,             0.42474,            0.037844,            0.021912,                   0,            0.006535,            0.006535,            0.006535
                   9,             0.04392,            0.022812,                   0,              0.7038,             0.92308,             0.86135,              0.5062,             0.04169,            0.021759,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.040334,            0.020569,                   0,             0.88548,             0.95385,             0.96374,             0.54922,            0.032405,            0.020992,                   0,            0.005545,            0.005545,            0.005545
                  11,             0.03698,            0.020895,                   0,             0.86252,             0.92308,             0.96074,             0.64572,            0.034256,            0.020172,                   0,             0.00505,             0.00505,             0.00505
                  12,             0.03529,            0.020784,                   0,              0.9033,             0.92308,              0.9732,             0.66291,            0.028653,             0.01963,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.033041,             0.02081,                   0,             0.91056,             0.93982,              0.9765,             0.65185,            0.029571,             0.01947,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.030182,            0.018788,                   0,             0.91108,             0.96923,             0.97846,             0.65102,            0.026292,            0.018974,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.028827,            0.017744,                   0,             0.90869,             0.95385,             0.97396,             0.67097,            0.026982,             0.01889,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.026655,             0.01856,                   0,             0.87595,             0.97773,             0.97611,             0.68433,            0.023821,            0.018536,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.025033,            0.017102,                   0,             0.87635,             0.98462,             0.97638,             0.70166,            0.023919,            0.018188,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.023979,            0.017752,                   0,             0.87134,             0.98462,             0.97233,             0.70368,            0.022024,            0.018265,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.023143,             0.01743,                   0,             0.89793,             0.96923,             0.97747,             0.72663,            0.020917,            0.017687,                   0,             0.00109,             0.00109,             0.00109
